"@P0 FADD32I R0, -|R0|, 0.ABS",0x0b40000000000000
"@P0 FADD32I R0.CC, -|R0|, 0.ABS",0x0b50000000000000
"@P0 FADD32I R0, -|R0|, 0.NEG.ABS",0x0b60000000000000
"@P0 FADD32I R0.CC, -|R0|, 0.NEG.ABS",0x0b70000000000000
"@P0 FADD32I.FTZ R0, -R0, 0.ABS",0x0b80000000000000
"@P0 FADD32I.FTZ R0.CC, -R0, 0.ABS",0x0b90000000000000
"@P0 FADD32I.FTZ R0, -R0, 0.NEG.ABS",0x0ba0000000000000
"@P0 FADD32I.FTZ R0.CC, -R0, 0.NEG.ABS",0x0bb0000000000000
"@P0 FADD32I.FTZ R0, -|R0|, 0.ABS",0x0bc0000000000000
"@P0 FADD32I.FTZ R0.CC, -|R0|, 0.ABS",0x0bd0000000000000
"@P0 FADD32I.FTZ R0, -|R0|, 0.NEG.ABS",0x0be0000000000000
"@P0 FADD32I.FTZ R0.CC, -|R0|, 0.NEG.ABS",0x0bf0000000000000
"@P0 FFMA32I R0, R0, 0, R0",0x0c00000000000000
"@P0 FFMA32I R0.CC, R0, 0, R0",0x0c10000000000000
"@P0 FFMA32I.FTZ R0, R0, 0, R0",0x0c20000000000000
"@P0 FFMA32I.FTZ R0.CC, R0, 0, R0",0x0c30000000000000
"@P0 FFMA32I.FMZ R0, R0, 0, R0",0x0c40000000000000
"@P0 FFMA32I.FMZ R0.CC, R0, 0, R0",0x0c50000000000000
"@P0 FFMA32I.INVALIDFMZ3 R0, R0, 0, R0",0x0c60000000000000
"@P0 FFMA32I.INVALIDFMZ3 R0.CC, R0, 0, R0",0x0c70000000000000
"@P0 FFMA32I.SAT R0, R0, 0, R0",0x0c80000000000000
"@P0 FFMA32I.SAT R0.CC, R0, 0, R0",0x0c90000000000000
"@P0 FFMA32I.FTZ.SAT R0, R0, 0, R0",0x0ca0000000000000
"@P0 FFMA32I.FTZ.SAT R0.CC, R0, 0, R0",0x0cb0000000000000
"@P0 FFMA32I.FMZ.SAT R0, R0, 0, R0",0x0cc0000000000000
"@P0 FFMA32I.FMZ.SAT R0.CC, R0, 0, R0",0x0cd0000000000000
"@P0 FFMA32I.INVALIDFMZ3.SAT R0, R0, 0, R0",0x0ce0000000000000
"@P0 FFMA32I.INVALIDFMZ3.SAT R0.CC, R0, 0, R0",0x0cf0000000000000
"@P0 FFMA32I R0, -R0, 0, R0",0x0d00000000000000
"@P0 FFMA32I R0.CC, -R0, 0, R0",0x0d10000000000000
"@P0 FFMA32I.FTZ R0, -R0, 0, R0",0x0d20000000000000
"@P0 FFMA32I.FTZ R0.CC, -R0, 0, R0",0x0d30000000000000
"@P0 FFMA32I.FMZ R0, -R0, 0, R0",0x0d40000000000000
"@P0 FFMA32I.FMZ R0.CC, -R0, 0, R0",0x0d50000000000000
"@P0 FFMA32I.INVALIDFMZ3 R0, -R0, 0, R0",0x0d60000000000000
"@P0 FFMA32I.INVALIDFMZ3 R0.CC, -R0, 0, R0",0x0d70000000000000
"@P0 FFMA32I.SAT R0, -R0, 0, R0",0x0d80000000000000
"@P0 FFMA32I.SAT R0.CC, -R0, 0, R0",0x0d90000000000000
"@P0 FFMA32I.FTZ.SAT R0, -R0, 0, R0",0x0da0000000000000
"@P0 FFMA32I.FTZ.SAT R0.CC, -R0, 0, R0",0x0db0000000000000
"@P0 FFMA32I.FMZ.SAT R0, -R0, 0, R0",0x0dc0000000000000
"@P0 FFMA32I.FMZ.SAT R0.CC, -R0, 0, R0",0x0dd0000000000000
"@P0 FFMA32I.INVALIDFMZ3.SAT R0, -R0, 0, R0",0x0de0000000000000
"@P0 FFMA32I.INVALIDFMZ3.SAT R0.CC, -R0, 0, R0",0x0df0000000000000
"@P0 FFMA32I R0, R0, 0, -R0",0x0e00000000000000
"@P0 FFMA32I R0.CC, R0, 0, -R0",0x0e10000000000000
"@P0 FFMA32I.FTZ R0, R0, 0, -R0",0x0e20000000000000
"@P0 FFMA32I.FTZ R0.CC, R0, 0, -R0",0x0e30000000000000
"@P0 FFMA32I.FMZ R0, R0, 0, -R0",0x0e40000000000000
"@P0 FFMA32I.FMZ R0.CC, R0, 0, -R0",0x0e50000000000000
"@P0 FFMA32I.INVALIDFMZ3 R0, R0, 0, -R0",0x0e60000000000000
"@P0 FFMA32I.INVALIDFMZ3 R0.CC, R0, 0, -R0",0x0e70000000000000
"@P0 FFMA32I.SAT R0, R0, 0, -R0",0x0e80000000000000
"@P0 FFMA32I.SAT R0.CC, R0, 0, -R0",0x0e90000000000000
"@P0 FFMA32I.FTZ.SAT R0, R0, 0, -R0",0x0ea0000000000000
"@P0 FFMA32I.FTZ.SAT R0.CC, R0, 0, -R0",0x0eb0000000000000
"@P0 FFMA32I.FMZ.SAT R0, R0, 0, -R0",0x0ec0000000000000
"@P0 FFMA32I.FMZ.SAT R0.CC, R0, 0, -R0",0x0ed0000000000000
"@P0 FFMA32I.INVALIDFMZ3.SAT R0, R0, 0, -R0",0x0ee0000000000000
"@P0 FFMA32I.INVALIDFMZ3.SAT R0.CC, R0, 0, -R0",0x0ef0000000000000
"@P0 FFMA32I R0, -R0, 0, -R0",0x0f00000000000000
"@P0 FFMA32I R0.CC, -R0, 0, -R0",0x0f10000000000000
"@P0 FFMA32I.FTZ R0, -R0, 0, -R0",0x0f20000000000000
"@P0 FFMA32I.FTZ R0.CC, -R0, 0, -R0",0x0f30000000000000
"@P0 FFMA32I.FMZ R0, -R0, 0, -R0",0x0f40000000000000
"@P0 FFMA32I.FMZ R0.CC, -R0, 0, -R0",0x0f50000000000000
"@P0 FFMA32I.INVALIDFMZ3 R0, -R0, 0, -R0",0x0f60000000000000
